Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 2, found no, slice -1, position -1
Thread 2, found no, slice -1, position -1
Thread 2, found no, slice -1, position -1
Thread 2, found no, slice -1, position -1
Thread 2, found no, slice -1, position -1
Thread 2, found no, slice -1, position -1
Thread 2, found yes, slice 2, position 95759
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 3, found no, slice -1, position -1
