Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 1, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found no, slice -1, position -1
Thread 0, found yes, slice 0, position 95759
